frame_index,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,Identity,frame
,0.4134297,0.4277066,0.42813095,0.31776613,0.09848953,0,0.14212142,0.003637784,0,0.021081848,0.31706142,0.3728873,0.6261734,0,0.7273928,0.33010343,0.002945819,0.06287319,0.5812686,0.06507897,0.000546596,6.31E-06,2.95E-06,0.000277257,0.000494162,1.38E-05,0.9986589,Person_0,19
,0.6134314,0.40398163,0.3840484,0.31695575,0.11720451,0,0.114589006,0.015053514,0,0.033689883,0.33415368,0.19767272,0.62133247,0,0.59272164,0.58901733,0.007732838,0.15227109,0.371743,0.08118213,0.000318169,1.98E-05,2.66E-06,0.00074144,0.000472806,8.46E-06,0.9984366,Person_0,20
,0.5729502,0.41277412,0.5369322,0.30930835,0.107602775,0,0.13021146,0.0305806,0,0.023908261,0.3380085,0.1789108,0.68686676,0,0.633097,0.5776685,0.010984125,0.05620682,0.10850894,0.053677402,0.000400687,2.77E-05,4.12E-06,0.00043519,0.00038137,1.05E-05,0.9987405,Person_0,21
,0.6345203,0.44079414,0.61521614,0.3226568,0.11110115,0,0.11771021,0.024479648,1,0.026554093,0.33820406,0.32696384,0.64716274,0,0.62879634,0.6060942,0.009175179,0.14796475,0.19841582,0.06916433,0.000236131,1.83E-05,3.01E-06,0.000565567,0.000367973,1.33E-05,0.99879575,Person_0,22
,0.37408787,0.42404103,0.4228192,0.27346295,0.097715795,0,0.13951705,0.004861605,1,0.02032309,0.31957784,0.2889566,0.6328129,0,0.6330004,0.69597214,0.005893133,0.11109755,0.27930838,0.14577843,0.000271196,2.25E-05,3.34E-06,0.000741581,0.000548753,1.28E-05,0.9983998,Person_0,23
,0.6337122,0.32141525,0.37493435,0.3872727,0.10523568,0,0.10748733,0.003339629,0,0.03284392,0.30289066,0.15957521,0.6280809,0,0.65139323,0.4077694,0.001281538,0.085252255,0.09752275,0.036020666,9.91E-05,1.20E-05,4.60E-06,0.000565157,0.000325577,2.25E-05,0.9989711,Person_0,24
,0.50665915,0.46099418,0.22621249,0.397665,0.10577998,0,0.08288386,0.003050615,0,0.017113367,0.23054068,0.38123465,0.6215131,0,0.606963,0.49904233,0.002853035,0.15761922,0.24850814,0.046559643,0.000120195,1.56E-05,3.04E-06,0.000860803,0.000399461,9.75E-06,0.9985911,Person_0,25
,0.50758576,0.42164803,0.37199748,0.30357954,0.15790224,0,0.15130122,0.027469901,0,0.021956926,0.390583,0.43563786,0.6207164,0,0.5960232,0.4445835,0.00486137,0.12316895,0.38226184,0.044317923,0.000312338,1.65E-05,2.03E-06,0.000482296,0.000203244,9.30E-06,0.9989743,Person_0,26
,0.39334086,0.39130908,0.3757549,0.2960762,0.116193846,0,0.12338611,0.104854465,0,0.026631728,0.3430463,0.45002124,0.631711,0,0.7138985,0.43067294,0.017251821,0.117008306,0.17547527,0.049578868,0.000152702,1.52E-05,2.26E-06,0.000254494,0.000148384,6.23E-06,0.99942076,Person_0,27
,0.4500925,0.5284699,0.16397278,0.406754,0.10611303,0,0.08724076,0.009139976,1,0.032987665,0.28727552,0.34041238,0.62167835,0,0.6756437,0.49087822,0.002906463,0.15061857,0.16061062,0.03188532,0.000273165,1.31E-05,2.32E-06,0.00083484,0.000136306,1.44E-05,0.99872595,Person_0,28
